preprocessing,best_accuracy,final_accuracy,f1_score
none,0.9743589743589743,0.9727564102564102,0.9727281622280531
zscore,0.9711538461538461,0.967948717948718,0.9678410595152521
minmax,0.9743589743589743,0.969551282051282,0.9695305919377757
robust,0.9615384615384616,0.9567307692307693,0.9566503981612278
log,0.969551282051282,0.9535256410256411,0.9535504250379745
clipped,0.9647435897435898,0.9551282051282052,0.954974512939338
