batch_size,best_accuracy,final_accuracy,f1_score
8,0.9519230769230769,0.8605769230769231,0.8612165372870101
16,0.969551282051282,0.9647435897435898,0.9646142599433579
32,0.9711538461538461,0.9647435897435898,0.9646790524713647
64,0.969551282051282,0.9631410256410257,0.9630934428718786
128,0.9647435897435898,0.9615384615384616,0.9614391954507773
256,0.9663461538461539,0.9599358974358975,0.9598184550906856
