augmentation,dataset_size,best_accuracy,final_accuracy,f1_score
Without Augmentation,3117,0.969551282051282,0.9567307692307693,0.9567604094778007
With Augmentation,9351,0.9791555318011759,0.9780865847140566,0.9780500415721173
