preprocessing,best_accuracy,final_accuracy,f1_score
none,0.6730769230769231,0.6730769230769231,0.5722934004492448
zscore,0.9631410256410257,0.9631410256410257,0.9630806297893577
minmax,0.9535256410256411,0.9535256410256411,0.9533691671694036
robust,0.9663461538461539,0.9663461538461539,0.9663297801735639
log,0.9631410256410257,0.9583333333333334,0.9582741806993479
clipped,0.9631410256410257,0.9631410256410257,0.9630806297893577
