learning_rate,best_accuracy,final_accuracy,f1_score
1e-05,0.9535256410256411,0.9519230769230769,0.9517950068069067
5e-05,0.9631410256410257,0.9615384615384616,0.9613995265689947
0.0001,0.9663461538461539,0.9631410256410257,0.9629906146909445
0.0005,0.9647435897435898,0.9599358974358975,0.959928847908914
0.001,0.967948717948718,0.9663461538461539,0.9662859216283268
0.005,0.9711538461538461,0.969551282051282,0.9695878948386047
0.01,0.3349358974358974,0.3333333333333333,0.16666666666666666
