augmentation,dataset_size,best_accuracy,final_accuracy,f1_score
Without Augmentation,3117,0.9631410256410257,0.9615384615384616,0.9613942622065332
With Augmentation,9351,0.9732763228220203,0.9711384286477819,0.9710978772337259
